player_id,runs_absolute,n_games_absolute
13865,1,1
2088,25,4
9993,23,4
1394,14,4
3858,16,3
13866,18,5
926,27,3
8583,51,6
13906,21,3
1695,34,4
3895,19,4
169,7,5
3848,24,4
13929,3,2
4408,8,3
13563,3,2
1377,14,3
3996,1,1
483,5,2
940,6,4
132,8,3
6019,10,5
200,6,3
428,33,4
11,28,7
12862,18,2
8257,23,4
13937,12,3
1910,13,3
13820,29,4
13821,9,3
13960,11,3
2108,8,3
2443,37,4
112,9,2
4626,18,3
13178,16,3
308,11,2
11113,15,2
1931,10,3
2090,11,2
3978,3,2
8328,15,4
113,17,6
133,24,4
3316,13,3
12960,24,4
1535,4,2
162,5,2
4717,19,4
1530,14,4
1926,20,4
1938,47,7
13860,26,6
3452,4,2
13021,4,2
13956,6,2
1977,9,3
4020,2,2
4681,1,1
8330,11,6
1971,25,4
13044,32,5
1336,17,4
22,21,3
12315,10,3
13994,27,3
1536,10,2
4912,3,1
4925,2,1
7192,8,2
9094,11,3
12640,13,2
1334,16,4
14028,5,3
16,16,3
1696,13,3
5195,14,3
8071,8,2
9598,19,3
13935,11,3
5116,27,6
71,9,3
5135,2,2
8854,24,4
1340,3,2
13813,5,2
195,25,4
4607,2,1
47,28,4
7649,8,2
8008,9,2
1519,9,4
4608,12,3
5173,6,2
8741,1,1
8927,7,3
107,14,3
8342,31,5
12222,12,3
2094,19,3
3849,5,1
1387,8,2
214,15,4
1593,12,3
13815,22,4
284,23,5
7966,7,3
8059,4,1
14003,17,3
4661,18,4
96,5,2
13859,9,2
13870,6,3
320,6,2
4892,32,7
8344,13,4
13992,17,3
401,27,6
163,14,4
100,25,7
1697,15,5
9089,23,2
4280,9,2
12537,3,2
18,26,4
9330,8,2
2099,14,4
6916,7,2
70,8,1
8420,6,2
13797,13,2
1829,5,1
2077,5,2
4928,25,3
13864,22,5
13923,17,4
13954,8,2
453,35,6
8034,7,3
12502,14,3
4590,2,1
61,15,6
649,6,2
13817,3,2
449,18,4
1550,16,3
4606,30,5
5063,8,2
1676,27,4
17,32,4
14010,14,3
14034,4,3
26,12,2
286,21,3
