player_id,player_name,team_name,team_short,position,jersey_number,vmax_kmh,threshold_kmh,n_games,runs_absolute,runs_relative,run_delta,pct_change,category,runs_per_game_absolute,runs_per_game_relative
265,Declan Rice,England,ENG,CM,4,18.53,14.83,5,9,142,133,1477.8,gained,1.8,28.4
4677,Jude Bellingham,England,ENG,CM,22,19.31,15.45,5,16,139,123,768.8,gained,3.2,27.8
4674,Axel Witsel,Belgium,BEL,CM,6,17.76,14.21,3,4,122,118,2950.0,gained,1.33,40.67
3888,Aurélien Tchouaméni,France,FRA,CM,8,19.85,15.88,7,30,145,115,383.3,gained,4.29,20.71
8129,Marcelo Brozovic,Croatia,CRO,CM,11,20.16,16.13,6,30,139,109,363.3,gained,5.0,23.17
1683,Casemiro,Brazil,BRA,CM,5,18.31,14.65,4,10,116,106,1060.0,gained,2.5,29.0
11856,Enzo Fernandez,Argentina,ARG,CM,24,19.13,15.3,7,24,129,105,437.5,gained,3.43,18.43
1534,Antoine Griezmann,France,FRA,CAM,7,19.44,15.55,7,20,122,102,510.0,gained,2.86,17.43
1687,Luka Modric,Croatia,CRO,CM,10,20.18,16.15,7,34,134,100,294.1,gained,4.86,19.14
100,Mateo Kovacic,Croatia,CRO,CM,8,19.57,15.66,7,25,120,95,380.0,gained,3.57,17.14
1519,Sergio Busquets,Spain,ESP,CM,5,18.37,14.7,4,9,103,94,1044.4,gained,2.25,25.75
4732,Djibril Sow,Switzerland,SUI,CAM,15,18.9,15.12,4,5,98,93,1860.0,gained,1.25,24.5
4324,Azzedine Ounahi,Morocco,MAR,CM,8,20.28,16.22,7,28,121,93,332.1,gained,4.0,17.29
4892,Josko Gvardiol,Croatia,CRO,LCB,20,19.97,15.98,7,32,124,92,287.5,gained,4.57,17.71
11,Nicolás Otamendi,Argentina,ARG,LCB,19,19.45,15.56,7,28,119,91,325.0,gained,4.0,17.0
12561,Sergej Milinković-Savić,Serbia,SRB,LW,20,18.56,14.85,3,5,94,89,1780.0,gained,1.67,31.33
10,John Stones,England,ENG,RCB,5,18.91,15.12,5,14,102,88,628.6,gained,2.8,20.4
13222,Nahuel Molina,Argentina,ARG,RB,26,20.02,16.02,6,31,116,85,274.2,gained,5.17,19.33
1681,Achraf Hakimi,Morocco,MAR,RB,2,20.65,16.52,7,43,128,85,197.7,gained,6.14,18.29
12514,Piotr Zielinski,Poland,POL,CM,20,19.06,15.25,4,10,94,84,840.0,gained,2.5,23.5
40,Dejan Lovren,Croatia,CRO,RCB,6,19.65,15.72,6,24,108,84,350.0,gained,4.0,18.0
8054,Adrien Rabiot,France,FRA,CM,14,20.17,16.13,6,31,115,84,271.0,gained,5.17,19.17
8328,Remo Freuler,Switzerland,SUI,CM,8,19.27,15.41,4,15,97,82,546.7,gained,3.75,24.25
2134,Moises Caicedo,Ecuador,ECU,CM,23,18.07,14.46,3,7,89,82,1171.4,gained,2.33,29.67
1339,Tyler Adams,United States,USA,CM,4,19.64,15.71,4,17,95,78,458.8,gained,4.25,23.75
13850,Grzegorz Krychowiak,Poland,POL,CDM,10,18.96,15.17,4,12,90,78,650.0,gained,3.0,22.5
10715,Julian Alvarez,Argentina,ARG,CF,9,20.96,16.76,7,38,116,78,205.3,gained,5.43,16.57
13866,Selim Amallah,Morocco,MAR,CM,15,19.65,15.72,7,18,94,76,422.2,gained,2.57,13.43
3870,Kylian Mbappé,France,FRA,LW,10,20.72,16.58,7,41,114,73,178.0,gained,5.86,16.29
1530,Pedri,Spain,ESP,CM,26,18.81,15.05,4,14,86,72,514.3,gained,3.5,21.5
12586,Sofyan Amrabat,Morocco,MAR,CM,4,20.23,16.18,7,40,112,72,180.0,gained,5.71,16.0
8025,Nicolas Tagliafico,Argentina,ARG,LB,3,19.36,15.49,6,11,83,72,654.5,gained,1.83,13.83
1522,Frenkie de Jong,Netherlands,NED,CM,21,20.26,16.21,5,27,98,71,263.0,gained,5.4,19.6
5116,Cristian Romero,Argentina,ARG,RCB,13,19.26,15.41,6,27,97,70,259.3,gained,4.5,16.17
118,Harry Maguire,England,ENG,LCB,6,18.2,14.56,5,14,84,70,500.0,gained,2.8,16.8
13121,Yunus Musah,United States,USA,CM,6,20.53,16.43,4,20,90,70,350.0,gained,5.0,22.5
107,Christian Pulisic,United States,USA,LW,10,19.57,15.65,4,14,83,69,492.9,gained,3.5,20.75
233,Romain Saïss,Morocco,MAR,LCB,6,19.13,15.3,6,20,89,69,345.0,gained,3.33,14.83
8062,Aaron Ramsey,Wales,WAL,CM,10,19.52,15.62,3,13,82,69,530.8,gained,4.33,27.33
1531,Lionel Messi,Argentina,ARG,CF,10,21.28,17.02,7,49,118,69,140.8,gained,7.0,16.86
401,Sofiane Boufal,Morocco,MAR,LW,17,19.78,15.82,7,27,95,68,251.9,gained,3.86,13.57
3868,Ángel Di María,Argentina,ARG,RM,11,18.78,15.02,4,6,74,68,1133.3,gained,1.5,18.5
1789,Jules Kounde,France,FRA,RCB,5,20.05,16.04,6,24,92,68,283.3,gained,4.0,15.33
3930,Lucas Paquetá,Brazil,BRA,CM,7,19.6,15.68,4,14,81,67,478.6,gained,3.5,20.25
13911,Young-gwon Kim,South Korea,KOR,LCB,19,19.16,15.33,4,14,81,67,478.6,gained,3.5,20.25
1938,Hakim Ziyech,Morocco,MAR,RW,7,21.08,16.87,7,47,112,65,138.3,gained,6.71,16.0
8330,Mario Pasalic,Croatia,CRO,CAM,15,20.35,16.28,7,11,76,65,590.9,gained,1.57,10.86
13788,Yeltsin Tejeda,Costa Rica,CRC,CM,17,18.37,14.7,3,5,70,65,1300.0,gained,1.67,23.33
13854,Dominik Livakovic,Croatia,CRO,GK,1,12.21,9.76,7,11,76,65,590.9,gained,1.57,10.86
1876,William Carvalho,Portugal,POR,CDM,14,17.95,14.36,4,5,70,65,1300.0,gained,1.25,17.5
8854,Jackson Irvine,Australia,AUS,CM,22,20.53,16.42,4,24,88,64,266.7,gained,6.0,22.0
4606,Dayot Upamecano,France,FRA,LCB,18,20.4,16.32,5,30,94,64,213.3,gained,6.0,18.8
12664,Saša Lukić,Serbia,SRB,CM,16,19.72,15.77,3,10,74,64,640.0,gained,3.33,24.67
8026,Daley Blind,Netherlands,NED,LWB,17,19.64,15.71,5,18,82,64,355.6,gained,3.6,16.4
3978,Pape Gueye,Senegal,SEN,CDM,26,18.39,14.71,3,3,66,63,2100.0,gained,1.0,22.0
449,Aaron Mooy,Australia,AUS,CDM,13,19.68,15.75,4,18,81,63,350.0,gained,4.5,20.25
7966,Kieffer Moore,Wales,WAL,CF,13,18.34,14.68,3,7,69,62,885.7,gained,2.33,23.0
13228,Youssouf Sabaly,Senegal,SEN,RB,21,20.27,16.22,4,21,83,62,295.2,gained,5.25,20.75
4926,Borna Sosa,Croatia,CRO,LB,19,20.15,16.12,5,21,83,62,295.2,gained,4.2,16.6
163,Bukayo Saka,England,ENG,RW,17,19.77,15.82,4,14,75,61,435.7,gained,3.5,18.75
157,Granit Xhaka,Switzerland,SUI,CM,10,20.47,16.38,4,21,82,61,290.5,gained,5.25,20.5
22,Kevin De Bruyne,Belgium,BEL,RW,7,20.5,16.4,3,21,80,59,281.0,gained,7.0,26.67
1334,Weston McKennie,United States,USA,CM,8,19.84,15.87,4,16,75,59,368.8,gained,4.0,18.75
12222,Majid Hosseini,Iran,IRN,LCB,19,18.71,14.97,3,12,71,59,491.7,gained,4.0,23.67
3856,Leandro Paredes,Argentina,ARG,CM,5,18.17,14.53,5,2,61,59,2950.0,gained,0.4,12.2
20,Ilkay Gündogan,Germany,GER,CM,21,18.29,14.63,3,5,64,59,1180.0,gained,1.67,21.33
1067,Brenden Aaronson,United States,USA,CAM,11,18.16,14.53,4,2,61,59,2950.0,gained,0.5,15.25
7584,Rodrigo Bentancur,Uruguay,URU,CM,6,19.52,15.62,3,7,65,58,828.6,gained,2.33,21.67
1931,Ethan Ampadu,Wales,WAL,CM,15,19.27,15.42,3,10,68,58,580.0,gained,3.33,22.67
4883,Andrej Kramaric,Croatia,CRO,CF,9,21.41,17.12,7,39,97,58,148.7,gained,5.57,13.86
8564,Pepe,Portugal,POR,RCB,3,18.84,15.07,4,9,67,58,644.4,gained,2.25,16.75
1810,Youssef En-Nesyri,Morocco,MAR,CF,19,20.57,16.46,7,38,95,57,150.0,gained,5.43,13.57
8037,Dusan Tadić,Serbia,SRB,RW,10,20.27,16.22,3,14,71,57,407.1,gained,4.67,23.67
3858,Idrissa Gueye,Senegal,SEN,CAM,5,20.66,16.53,3,16,72,56,350.0,gained,5.33,24.0
4408,Salis Abdul Samed,Ghana,GHA,CM,21,19.32,15.46,3,8,64,56,700.0,gained,2.67,21.33
113,Olivier Giroud,France,FRA,CF,9,19.56,15.65,6,17,73,56,329.4,gained,2.83,12.17
5135,Josh Sargent,United States,USA,CF,24,18.02,14.41,3,2,58,56,2800.0,gained,0.67,19.33
4625,Robert Lewandowski,Poland,POL,CF,9,19.96,15.97,4,20,76,56,280.0,gained,5.0,19.0
1907,Vitinha,Portugal,POR,CM,16,17.53,14.02,3,2,58,56,2800.0,gained,0.67,19.33
13781,Celso Borges,Costa Rica,CRC,CM,5,18.31,14.65,3,8,64,56,700.0,gained,2.67,21.33
8341,Gavi,Spain,ESP,CM,9,19.65,15.72,4,14,70,56,400.0,gained,3.5,17.5
13956,Assim Madibo,Qatar,QAT,CDM,23,17.07,13.66,2,6,61,55,916.7,gained,3.0,30.5
1977,André Zambo Anguissa,Cameroon,CMR,CM,8,20.08,16.07,3,9,64,55,611.1,gained,3.0,21.33
214,Nampalys Mendy,Senegal,SEN,CM,6,20.13,16.1,4,15,70,55,366.7,gained,3.75,17.5
13945,Boualem Khoukhi,Qatar,QAT,UNK,16,18.56,14.84,3,9,64,55,611.1,gained,3.0,21.33
66,Toby Alderweireld,Belgium,BEL,UNK,2,18.62,14.9,3,8,63,55,687.5,gained,2.67,21.0
284,Nathan Aké,Netherlands,NED,LCB,5,19.35,15.48,5,23,77,54,234.8,gained,4.6,15.4
6895,Rodrigo de Paul,Argentina,ARG,CM,7,21.95,17.56,7,51,105,54,105.9,gained,7.29,15.0
4717,Breel Embolo,Switzerland,SUI,CF,7,20.52,16.42,4,19,72,53,278.9,gained,4.75,18.0
13980,Saeid Ezatolahi,Iran,IRN,CDM,6,18.45,14.76,3,7,60,53,757.1,gained,2.33,20.0
2095,Daichi Kamada,Japan,JPN,CAM,15,20.3,16.24,4,20,73,53,265.0,gained,5.0,18.25
1675,Raphael Varane,France,FRA,RCB,4,20.09,16.07,6,27,80,53,196.3,gained,4.5,13.33
4758,Ellyes Skhiri,Tunisia,TUN,CM,17,20.11,16.09,3,15,68,53,353.3,gained,5.0,22.67
4624,Thomas Müller,Germany,GER,CAM,13,19.61,15.69,3,8,60,52,650.0,gained,2.67,20.0
7419,Krystian Bielik,Poland,POL,CM,6,19.05,15.24,4,7,59,52,742.9,gained,1.75,14.75
13912,Jin-su Kim,South Korea,KOR,LB,3,20.02,16.01,4,15,67,52,346.7,gained,3.75,16.75
7443,Christian Eriksen,Denmark,DEN,CM,10,20.17,16.13,3,16,68,52,325.0,gained,5.33,22.67
4616,Joshua Kimmich,Germany,GER,CM,6,19.64,15.71,3,14,65,51,364.3,gained,4.67,21.67
67,Jan Vertonghen,Belgium,BEL,LCB,5,19.79,15.83,3,13,64,51,392.3,gained,4.33,21.33
1684,Federico Valverde,Uruguay,URU,CM,15,20.31,16.25,3,14,65,51,364.3,gained,4.67,21.67
169,Jordan Pickford,England,ENG,GK,1,11.98,9.59,5,7,57,50,714.3,gained,1.4,11.4
1971,Tim Ream,United States,USA,LCB,13,20.38,16.3,4,25,75,50,200.0,gained,6.25,18.75
13994,Saud Abdulhamid,Saudi Arabia,KSA,RB,12,21.45,17.16,3,27,77,50,185.2,gained,9.0,25.67
1785,Bono,Morocco,MAR,GK,1,12.09,9.67,6,12,62,50,416.7,gained,2.0,10.33
