player_id,player_name,team_name,team_short,position,jersey_number,is_starter,vmax_kmh,threshold_kmh,low_confidence,games_appeared,total_runs,runs_per_game,total_hsr_distance_m,hsr_distance_per_game_m,mean_duration_sec,mean_pct_of_vmax_pct,tournament_peak_speed_kmh,mean_peak_speed_kmh
4674,Axel Witsel,Belgium,BEL,CM,6,true,17.76,13.32,false,3,186,62.0,1467.8,489.3,1.84,91.2,28.27,16.19
2134,Moises Caicedo,Ecuador,ECU,CM,23,true,18.07,13.56,false,3,144,48.0,1157.8,385.9,1.84,90.2,41.74,16.3
1381,Marcos Llorente,Spain,ESP,CM,6,false,20.97,15.73,false,1,45,45.0,500.8,500.8,2.1,98.4,45.0,20.65
1683,Casemiro,Brazil,BRA,CM,5,true,18.31,13.74,false,4,179,44.75,1462.2,365.6,1.82,93.9,45.0,17.19
12561,Sergej Milinković-Savić,Serbia,SRB,LW,20,true,18.56,13.92,false,3,133,44.33,1209.4,403.1,2.02,92.6,32.69,17.19
265,Declan Rice,England,ENG,CM,4,true,18.53,13.9,false,5,221,44.2,1876.1,375.2,1.88,91.5,41.84,16.96
13956,Assim Madibo,Qatar,QAT,CDM,23,false,17.07,12.81,false,2,85,42.5,655.9,328.0,1.82,93.3,33.7,15.94
1339,Tyler Adams,United States,USA,CM,4,true,19.64,14.73,false,4,168,42.0,1514.0,378.5,1.87,92.4,42.04,18.15
3387,Orbelín Pineda,Mexico,MEX,CM,17,false,19.17,14.38,false,1,42,42.0,392.6,392.6,2.04,90.2,21.99,17.3
4677,Jude Bellingham,England,ENG,CM,22,true,19.31,14.48,false,5,207,41.4,1751.9,350.4,1.78,92.3,30.33,17.82
8062,Aaron Ramsey,Wales,WAL,CM,10,true,19.52,14.64,false,3,122,40.67,1163.2,387.7,1.96,92.9,38.14,18.13
7966,Kieffer Moore,Wales,WAL,CF,13,false,18.34,13.76,false,3,113,37.67,949.0,316.3,1.87,92.3,31.19,16.92
13857,Borna Barisic,Croatia,CRO,LB,3,false,20.02,15.01,false,1,37,37.0,396.0,396.0,2.17,94.8,30.36,18.98
1034,Jhegson Méndez,Ecuador,ECU,CM,20,true,18.14,13.61,false,2,74,37.0,610.7,305.4,1.84,93.0,41.61,16.88
1519,Sergio Busquets,Spain,ESP,CM,5,true,18.37,13.78,false,4,147,36.75,1270.5,317.6,1.9,93.9,43.17,17.25
8129,Marcelo Brozovic,Croatia,CRO,CM,11,true,20.16,15.12,false,6,219,36.5,2121.3,353.5,1.95,93.7,37.64,18.9
4732,Djibril Sow,Switzerland,SUI,CAM,15,true,18.9,14.17,false,4,146,36.5,1325.8,331.4,1.97,92.2,40.93,17.42
22,Kevin De Bruyne,Belgium,BEL,RW,7,true,20.5,15.38,false,3,109,36.33,994.9,331.6,1.77,96.9,35.65,19.86
8328,Remo Freuler,Switzerland,SUI,CM,8,true,19.27,14.45,false,4,145,36.25,1333.8,333.4,1.94,94.2,44.52,18.15
1931,Ethan Ampadu,Wales,WAL,CM,15,true,19.27,14.46,false,3,108,36.0,933.7,311.2,1.85,91.7,24.58,17.68
1841,Pau Torres,Spain,ESP,LCB,4,false,17.39,13.04,false,1,36,36.0,349.2,349.2,2.26,92.8,20.43,16.14
13788,Yeltsin Tejeda,Costa Rica,CRC,CM,17,true,18.37,13.78,false,3,108,36.0,922.2,307.4,1.9,92.2,31.45,16.94
12664,Saša Lukić,Serbia,SRB,CM,16,true,19.72,14.79,false,3,106,35.33,980.5,326.8,1.94,91.8,29.81,18.1
4758,Ellyes Skhiri,Tunisia,TUN,CM,17,true,20.11,15.08,false,3,105,35.0,993.2,331.1,1.91,93.3,36.56,18.77
3858,Idrissa Gueye,Senegal,SEN,CAM,5,true,20.66,15.5,false,3,104,34.67,1044.4,348.1,1.96,92.7,30.06,19.14
4613,Benjamin Pavard,France,FRA,RB,2,true,19.31,14.48,false,1,34,34.0,325.8,325.8,2.02,93.8,38.57,18.11
13976,Sadegh Moharrami,Iran,IRN,RWB,2,true,20.65,15.49,false,1,34,34.0,373.0,373.0,2.11,97.8,36.13,20.2
8854,Jackson Irvine,Australia,AUS,CM,22,true,20.53,15.4,false,4,135,33.75,1374.3,343.6,2.0,93.4,36.57,19.18
12514,Piotr Zielinski,Poland,POL,CM,20,true,19.06,14.3,false,4,135,33.75,1214.5,303.6,1.91,92.9,28.63,17.7
4621,Jamal Musiala,Germany,GER,LW,14,true,19.83,14.87,false,3,100,33.33,889.2,296.4,1.8,93.9,35.72,18.61
8037,Dusan Tadić,Serbia,SRB,RW,10,true,20.27,15.2,false,3,100,33.33,1025.1,341.7,2.08,92.6,34.17,18.76
13121,Yunus Musah,United States,USA,CM,6,true,20.53,15.4,false,4,133,33.25,1345.3,336.3,1.99,93.7,39.72,19.24
13996,Hassan Tambakti,Saudi Arabia,KSA,RCB,17,true,19.99,14.99,false,2,66,33.0,687.2,343.6,2.12,94.2,28.26,18.84
1530,Pedri,Spain,ESP,CM,26,true,18.81,14.11,false,4,131,32.75,1142.2,285.5,1.87,95.1,33.48,17.9
449,Aaron Mooy,Australia,AUS,CDM,13,true,19.68,14.76,false,4,131,32.75,1281.6,320.4,1.99,94.7,38.83,18.64
1977,André Zambo Anguissa,Cameroon,CMR,CM,8,true,20.08,15.06,false,3,97,32.33,866.3,288.8,1.77,94.5,44.64,18.98
8054,Adrien Rabiot,France,FRA,CM,14,true,20.17,15.13,false,6,193,32.17,1686.5,281.1,1.75,94.1,37.05,18.97
13850,Grzegorz Krychowiak,Poland,POL,CDM,10,true,18.96,14.22,false,4,128,32.0,1106.0,276.5,1.83,94.7,36.05,17.95
13980,Saeid Ezatolahi,Iran,IRN,CDM,6,false,18.45,13.84,false,3,96,32.0,773.3,257.8,1.78,93.1,33.89,17.17
8578,Simon Kjaer,Denmark,DEN,UNK,4,true,18.69,14.01,false,1,32,32.0,273.0,273.0,1.83,96.7,23.4,18.07
13867,Bilal El Khannouss,Morocco,MAR,CAM,23,false,17.64,13.23,false,1,32,32.0,253.3,253.3,1.83,90.9,21.09,16.04
11853,Antonio Silva,Portugal,POR,RCB,24,false,19.89,14.92,false,1,32,32.0,355.9,355.9,2.28,92.4,26.27,18.37
4616,Joshua Kimmich,Germany,GER,CM,6,true,19.64,14.73,false,3,95,31.67,918.9,306.3,1.95,97.6,45.0,19.17
3367,Henry Martín,Mexico,MEX,CF,20,true,19.71,14.78,false,2,63,31.5,671.6,335.8,2.2,91.9,30.84,18.11
13994,Saud Abdulhamid,Saudi Arabia,KSA,RB,12,true,21.45,16.09,false,3,94,31.33,1084.4,361.5,2.13,97.2,45.0,20.86
7443,Christian Eriksen,Denmark,DEN,CM,10,true,20.17,15.12,false,3,94,31.33,929.5,309.8,1.97,94.8,30.24,19.11
20,Ilkay Gündogan,Germany,GER,CM,21,true,18.29,13.72,false,3,93,31.0,798.9,266.3,1.92,93.2,42.43,17.04
3888,Aurélien Tchouaméni,France,FRA,CM,8,true,19.85,14.89,false,7,216,30.86,1999.9,285.7,1.86,94.9,45.0,18.84
3978,Pape Gueye,Senegal,SEN,CDM,26,false,18.39,13.79,false,3,92,30.67,801.7,267.2,1.94,92.8,33.7,17.06
8551,Stephen Eustaquio,Canada,CAN,CM,7,true,20.08,15.06,false,2,61,30.5,605.2,302.6,2.02,92.9,28.21,18.65
4611,Alphonso Davies,Canada,CAN,LWB,19,true,21.79,16.34,false,3,91,30.33,955.0,318.3,1.89,97.1,38.93,21.16
107,Christian Pulisic,United States,USA,LW,10,true,19.57,14.68,false,4,121,30.25,1203.8,301.0,2.06,92.9,32.33,18.18
4408,Salis Abdul Samed,Ghana,GHA,CM,21,true,19.32,14.49,false,3,90,30.0,903.6,301.2,2.1,93.2,45.0,18.0
1334,Weston McKennie,United States,USA,CM,8,true,19.84,14.88,false,4,120,30.0,1089.8,272.5,1.86,93.9,43.06,18.64
12222,Majid Hosseini,Iran,IRN,LCB,19,true,18.71,14.03,false,3,90,30.0,858.6,286.2,2.0,97.2,37.4,18.18
8561,Mehdi Taremi,Iran,IRN,CF,9,true,21.17,15.88,false,3,90,30.0,979.9,326.6,2.07,94.3,28.36,19.96
14023,Mohamed Ali Ben Romdhane,Tunisia,TUN,CM,15,false,18.53,13.9,false,1,30,30.0,255.2,255.2,1.87,92.8,26.55,17.19
13781,Celso Borges,Costa Rica,CRC,CM,5,true,18.31,13.73,false,3,90,30.0,856.0,285.3,2.04,94.3,33.79,17.27
4624,Thomas Müller,Germany,GER,CAM,13,true,19.61,14.71,false,3,89,29.67,792.5,264.2,1.84,93.8,33.21,18.4
67,Jan Vertonghen,Belgium,BEL,LCB,5,true,19.79,14.84,false,3,89,29.67,888.7,296.2,2.01,97.6,45.0,19.32
13945,Boualem Khoukhi,Qatar,QAT,UNK,16,true,18.56,13.92,false,3,88,29.33,820.9,273.6,1.96,99.5,45.0,18.46
1522,Frenkie de Jong,Netherlands,NED,CM,21,true,20.26,15.19,false,5,146,29.2,1438.2,287.6,1.94,95.2,35.42,19.28
14030,Anis Slimane,Tunisia,TUN,RW,25,true,20.66,15.49,false,2,58,29.0,568.0,284.0,1.92,92.5,36.64,19.1
1684,Federico Valverde,Uruguay,URU,CM,15,true,20.31,15.23,false,3,87,29.0,881.3,293.8,1.99,95.3,35.93,19.35
13998,Salem Al-Dawsari,Saudi Arabia,KSA,LM,10,true,20.64,15.48,false,3,87,29.0,897.2,299.1,1.98,97.4,34.77,20.11
157,Granit Xhaka,Switzerland,SUI,CM,10,true,20.47,15.36,false,4,115,28.75,1137.8,284.4,1.93,94.0,42.14,19.24
11856,Enzo Fernandez,Argentina,ARG,CM,24,false,19.13,14.35,false,7,201,28.71,1767.2,252.5,1.82,96.3,41.93,18.43
7584,Rodrigo Bentancur,Uruguay,URU,CM,6,true,19.52,14.64,false,3,86,28.67,809.3,269.8,1.95,93.6,34.13,18.28
11841,Hidemasa Morita,Japan,JPN,CDM,13,false,20.07,15.05,false,3,86,28.67,813.6,271.2,1.84,97.9,45.0,19.65
5098,Ko Itakura,Japan,JPN,RCB,4,true,17.38,13.04,false,3,86,28.67,783.0,261.0,1.99,101.5,45.0,17.65
6655,Nicolas N'Koulou,Cameroon,CMR,LCB,3,true,19.84,14.88,false,2,57,28.5,568.1,284.0,2.04,93.1,26.07,18.47
14004,Abdulelah Al-Malki,Saudi Arabia,KSA,CDM,8,true,19.39,14.54,false,2,57,28.5,575.2,287.6,2.12,92.7,33.95,17.97
4142,Dylan Bronn,Tunisia,TUN,RCB,6,true,17.7,13.28,false,2,57,28.5,495.0,247.5,1.95,97.8,37.74,17.31
1876,William Carvalho,Portugal,POR,CDM,14,false,17.95,13.46,false,4,114,28.5,872.2,218.1,1.75,91.8,27.05,16.47
395,Pierre-Emile Höjbjerg,Denmark,DEN,CM,23,true,20.36,15.27,false,3,85,28.33,905.2,301.7,2.06,97.1,42.27,19.77
13852,Damian Szymanski,Poland,POL,CM,8,false,15.76,11.82,false,1,28,28.0,175.2,175.2,1.66,89.2,18.55,14.06
5135,Josh Sargent,United States,USA,CF,24,true,18.02,13.51,false,3,84,28.0,693.3,231.1,1.87,91.6,22.35,16.51
13901,Pape Abou Cissé,Senegal,SEN,LCB,4,true,19.67,14.75,false,1,28,28.0,302.8,302.8,2.17,98.5,31.0,19.38
13779,Juan Pablo Vargas,Costa Rica,CRC,LCB,3,false,18.43,13.82,false,1,28,28.0,281.3,281.3,2.14,96.2,24.38,17.73
13977,Morteza Pouraliganji,Iran,IRN,RCB,8,true,21.27,15.95,false,3,84,28.0,981.1,327.0,2.19,95.1,31.36,20.22
1907,Vitinha,Portugal,POR,CM,16,false,17.53,13.15,false,3,84,28.0,662.5,220.8,1.86,91.3,22.03,16.0
4695,Nico Elvedi,Switzerland,SUI,LCB,4,true,18.82,14.12,false,2,56,28.0,559.0,279.5,2.08,97.7,45.0,18.39
214,Nampalys Mendy,Senegal,SEN,CM,6,true,20.13,15.09,false,4,111,27.75,1040.8,260.2,1.85,94.4,38.07,19.0
3930,Lucas Paquetá,Brazil,BRA,CM,7,true,19.6,14.7,false,4,111,27.75,1035.0,258.7,1.93,93.1,25.97,18.25
